"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
644,31419.99858,16257.00098,129.242,3028.86941,18.14642
645,31471.07725,20629.04777,179.11655,2399.24873,12.62683
646,31560.37838,25537.65976,196.99253,1591.24535,21.0848
647,31569.38485,29610.70762,124.02401,1214.14288,16.52775
648,31656.89773,17646.19747,121.97558,1390.46311,10.48256
649,31596.98693,19393.48348,178.26145,2682.38286,12.83846
650,31736.57702,24666.4196,160.60829,1460.09975,12.72465
651,31689.75032,25521.90503,222.49535,1865.03722,17.12225
652,31724.18868,29336.00034,229.11348,4229.62988,13.77789
653,31726.24714,30168.44633,170.58094,2019.48455,11.70337
654,31796.06367,30531.45801,131.2974,2339.12902,16.07932
655,31945.51068,19888.5887,257.69696,3173.31826,16.54106
656,31985.74097,26419.76898,126.78314,919.62928,16.465
657,32026.54332,27803.34631,556.93831,42607.69426,6.42362
658,31965.88102,27709.55413,383.88646,14198.31731,7.65563
659,31960.32299,16299.95836,110.84397,1783.27576,24.80437
660,31993.00699,21089.31786,108.6015,607.85074,10.49351
661,32057.20481,22461.40742,89.37952,289.4108,17.24419
662,32110.18925,28186.7532,125.47289,681.67683,17.82758
663,32084.09556,28662.37251,141.88388,2044.28611,8.79038
664,32208.42048,17847.8942,493.93155,23137.17118,8.40908
665,32280.81653,24542.23015,185.78828,1754.43485,14.61424
666,32300.81689,26706.39209,485.43744,35442.34397,6.63197
667,32219.52947,16610.40871,131.37944,3437.89311,18.36066
668,32281.09176,25728.57769,185.97671,2983.05739,11.41363
669,32137.04326,30475.96208,123.79741,1964.66091,17.8744
670,32443.15129,23644.91831,313.76692,7346.5603,6.75032
671,32314.69539,29626.92517,184.53362,1900.62701,12.87818
672,32319.25975,19601.19559,466.43868,32381.91071,6.42288
673,32406.4407,20578.53115,148.8891,1132.76371,14.36922
674,32433.52144,22088.79316,107.76778,588.16205,14.80055
675,32581.55871,21245.53334,133.30577,592.5815,19.85547
676,32553.34157,23293.51492,106.73734,715.6032,8.80936
677,32487.54746,27296.41578,45.83446,156.47347,16.00123
678,32506.20651,27971.14443,138.8444,1009.36626,13.57151
679,32588.78266,17386.81632,128.7145,1113.6264,13.95006
680,32571.59696,22551.54339,143.70025,1014.30233,14.32805
681,32661.89265,18460.29011,133.69872,762.51306,13.23331
682,32690.92759,19157.83511,101.69645,523.53527,16.07313
683,32730.48196,25441.34256,177.62795,1101.48953,19.08627
684,32842.11802,16350.34139,100.26888,1372.68271,23.63582
685,32732.8618,24507.6766,198.56718,2287.54146,16.03184
686,32793.69968,29330.11605,162.6755,973.16012,14.64438
687,32900.26377,17640.93453,71.06503,183.75141,29.09186
688,32897.24298,21433.36767,160.37923,1170.98867,15.21752
