id,x [nm],y [nm],sigma [nm],intensity [photon],uncertainty_xy [nm],x_px,y_px,sigma_px,mean_intensity,Outlier
37,6505.40343,4389.62188,92.07989,2753.45938,13.15383,113,75,2,0.0906318082788671,False
38,6487.6327,8087.26201,101.85125,3077.91641,12.81737,113,138,2,0.1028322440087146,False
39,6679.69295,6398.90374,146.60796,15038.14538,5.03145,116,109,3,0.24047058823529416,True
41,6700.99891,10358.21547,137.32844,9065.34143,9.35094,117,176,2,0.15468409586056645,False
42,6773.64589,2403.8305,109.11741,7692.94197,9.97294,118,41,2,0.17734204793028327,False
43,6685.01547,3015.10648,120.33663,8647.05905,6.23362,116,51,2,0.1917211328976035,False
44,6772.42363,5857.81171,90.1766,2407.74869,15.21065,118,100,2,0.062309368191721136,False
45,6691.85704,9706.1091,93.71397,5109.12783,11.70367,116,165,2,0.14291938997821352,False
46,6747.59035,10963.70781,95.41647,2703.26086,12.57659,117,187,2,0.14204793028322438,False
47,6706.37627,11785.57525,90.57044,10263.95932,5.95846,117,201,2,0.23311546840958602,True
49,6805.67209,8774.03683,94.90074,4607.25937,9.50164,118,149,2,0.08714596949891068,False
50,6934.07304,4977.71905,84.47232,3102.18626,12.33132,121,85,1,0.0784313725490196,False
51,6733.21497,9439.88196,96.41842,4681.97977,10.6949,117,161,2,0.14596949891067534,False
52,6902.43894,10509.81129,113.74377,2457.52032,18.62251,120,179,2,0.1912854030501089,False
53,6826.93208,4160.9984,133.35284,6507.60831,9.48076,119,71,2,0.14640522875816994,False
54,6860.59184,6372.92634,109.35475,7805.06075,11.41722,119,109,2,0.1699346405228758,False
55,6882.5494,10397.53807,116.0746,6580.31508,8.5845,120,177,2,0.18474945533769063,False
