"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
324,10992.03028,12085.41465,67.07058,1276.52298,14.2247
325,11079.30029,17597.00382,57.38534,1761.94024,10.21059
326,11109.78567,4788.94507,67.02835,2232.16104,10.62698
327,11073.22238,13765.80567,117.54014,5388.39424,13.49753
328,11105.96489,14419.15878,72.58037,2162.06639,9.97818
329,11110.69708,16181.4203,134.48023,4763.3687,15.46954
330,11186.82312,10298.62186,60.82211,2088.3002,8.70529
331,11241.33021,14053.79986,83.30434,3160.96279,12.75995
332,11285.83392,16900.78158,99.15081,3305.92331,13.3362
333,11207.83554,4923.05268,69.28183,2131.84349,12.54048
334,11128.2756,6758.75681,102.5883,4156.90208,11.45411
335,11181.59389,15345.36803,68.04636,2276.47614,11.48184
336,11130.06401,16210.96083,107.01147,5025.87971,10.39906
337,11303.50059,11629.81208,87.76512,3471.1557,9.90966
338,11324.20424,13022.56515,127.24011,7888.24085,7.49258
339,11303.76702,17777.13805,68.1665,1941.66701,12.1933
340,11225.03148,4065.15514,115.59238,3450.02653,14.72963
341,11393.11208,9695.94062,72.79402,3012.55837,8.06451
342,11399.93354,10685.1691,76.91331,1923.33115,10.45513
343,11346.79788,12246.31388,65.98128,1137.1713,14.47947
344,11321.18391,14956.20214,88.854,2809.20166,13.88525
345,11367.82614,6109.59089,94.43515,5489.13304,8.35764
346,11395.32202,7724.33296,56.83755,1616.16056,8.76383
347,11357.56866,9322.80958,79.55111,2078.48618,15.20718
348,11347.93946,16064.01371,85.88845,2677.62485,12.94281
349,11424.90875,17302.67967,56.97284,1583.93314,9.03051
350,11486.54682,11471.81738,110.39191,4934.28706,13.12288
351,11449.04921,12591.10924,132.06101,4561.02119,15.46496
352,11352.3435,13167.47059,68.57446,2035.80187,11.89193
353,11418.50724,13735.79408,89.49899,3145.24969,13.83296
354,11517.56175,4225.09267,75.3121,1729.78647,10.63167
355,11449.57872,10479.91138,74.76264,2279.08286,10.77999
356,11428.76817,12875.28446,97.2979,3625.2484,16.13192
357,11554.69673,18023.60027,50.6948,1365.09736,11.8632
358,11640.33886,5021.01729,87.52099,3188.81032,10.98731
359,11539.4048,8739.58059,101.25369,2996.613,11.60905
360,11619.5297,9926.83873,95.58452,2682.27868,14.82203
361,11625.03074,15526.33764,125.68644,7654.53875,8.97364
362,11482.31851,16731.52212,105.4021,3980.04706,16.04814
363,11663.70658,7045.2331,92.15149,2489.68023,11.11429
364,11660.40489,7995.54661,59.52753,1322.10002,10.83636
365,11741.19929,9556.87891,106.66461,4393.86078,13.97662
366,11674.463,18182.50415,53.74282,1743.93801,11.51638
367,11716.18016,5183.25516,46.72961,1399.58778,8.03566
368,11694.22418,11433.33218,161.55996,10458.25082,7.23619
369,11671.62712,12255.65929,73.21045,1434.61408,17.52997
370,11562.23342,12877.66309,130.48199,3661.90707,18.92606
371,11703.6141,13744.94716,69.1315,2005.58785,10.42896
372,11737.67702,6463.10276,69.84736,2273.63309,9.61797
373,11746.27765,9737.01782,150.83646,8745.34149,9.20034
374,11774.23032,12039.46998,89.59058,2127.07545,13.30386
375,11685.37021,12796.12562,64.59193,1288.22178,12.59217
376,11775.4179,14574.3755,123.12026,6363.36751,8.74735
377,11685.38711,17348.8025,99.46968,3246.85026,11.75814
378,11826.25108,18359.62739,89.87894,3641.4831,13.44294
379,11763.95122,8450.44932,57.0889,1003.30747,12.2758
380,11867.35474,10930.76201,63.18692,1235.41925,10.56684
381,11861.67811,13258.68331,56.85446,1602.36506,10.7434
382,11887.67056,11670.63772,64.31966,1927.17587,11.23929
383,11958.39204,15305.54684,103.20268,5486.67892,13.26346
384,12044.03898,7737.89995,83.24998,2830.20672,10.42914
385,11891.29358,15225.91677,98.36333,4650.67428,11.00279
386,11953.96769,17536.76713,59.26448,1026.17758,12.61084
387,11817.80686,18351.77925,94.24742,3727.00875,10.41478
388,12056.46541,16435.44142,82.86508,4489.64087,9.90929
389,12006.94514,5150.69671,97.2089,2178.96147,11.98275
390,11982.23486,9768.39493,74.96537,2319.7598,11.39162
391,12045.93609,10203.10123,35.52352,501.18136,7.33482
392,12103.60931,12378.57535,48.96354,816.86238,11.80096
393,12051.79775,14208.3655,37.56985,611.3933,10.08555
394,12103.47696,15736.9789,75.93782,2174.20905,10.62826
395,12065.0762,18735.42903,62.45755,816.03198,19.07245
396,12202.04406,6732.65612,88.29131,2709.09111,11.84255
397,12189.20256,6859.63048,76.38868,1927.08829,12.58004
398,12110.26906,8023.42679,94.76934,4508.22078,12.28108
399,12114.52084,11661.90041,35.67787,502.45041,12.49204
400,12112.44373,16833.11231,36.96635,301.9898,19.47417
401,12169.88872,6398.65403,34.05949,354.17406,11.48673
402,12170.34791,8790.92494,66.10497,2255.80483,9.7253
403,12352.51428,7635.07371,80.08761,2013.34669,13.5996
404,12312.20976,9367.52563,88.83968,2518.72869,13.4634
405,12285.69143,12589.66468,80.43711,1611.54884,14.49299
406,12188.12757,14841.12647,60.63786,1745.59632,7.43709
407,12307.50353,8267.45218,61.43837,1675.76832,15.12266
408,12317.76855,9114.99051,48.50523,997.63406,12.59259
409,12293.4477,11290.94117,57.54207,793.27636,14.59355
410,12332.5892,6679.74385,78.1912,2941.07026,9.75145
411,12314.59208,7126.11476,39.59441,611.25704,11.79811
412,12365.44291,11517.85569,40.91365,652.56261,10.56874
413,12312.38305,16466.86074,105.26228,9743.95014,6.11022
414,12308.339,17558.89246,91.8254,2728.25046,16.9271
415,12392.11027,10485.92368,65.27327,2619.46491,7.58932
416,12397.12631,10716.17322,60.37673,1882.14531,9.68996
417,12514.67284,15373.54911,60.92352,2411.51323,10.80713
418,12431.95388,15619.5987,102.07044,4293.97996,12.04131
419,12470.09906,18385.42621,108.16961,5565.86775,9.09668
420,12426.2231,18817.88077,106.67517,3683.21224,13.67053
421,12455.47048,13469.26021,132.97384,30837.30567,2.61705
422,12479.8575,7602.8555,72.81165,2329.32497,11.57062
423,12537.98782,14184.64991,83.63761,3819.87525,8.56448
424,12605.46283,17725.86443,92.34246,4329.84026,11.023
425,12504.38506,18033.65883,128.50798,5219.35109,13.1858
426,12477.21073,18459.91521,101.41499,4619.24445,12.18479
427,12525.98716,5186.18597,49.34685,534.21816,15.71318
428,12587.32402,7201.71615,40.82681,488.26729,15.95969
429,12589.41809,19113.19965,73.07149,2444.18453,9.96953
430,12678.61149,12506.65148,82.69822,4134.33627,10.59487
431,12533.24351,13079.05732,74.18401,3460.31456,9.90062
432,12631.01983,17766.05834,97.35855,2752.54248,16.61483
433,12578.75058,6438.75115,63.84814,1569.56815,13.35201
434,12729.01654,8619.87852,144.2787,6427.38139,11.80957
435,12720.23375,9406.23795,54.50921,2201.58957,7.92727
436,12655.40886,11976.16858,105.35998,3524.13664,9.57464
437,12727.15353,15319.71722,89.00879,7873.44662,6.50036
438,12687.53526,17004.51213,197.48364,21376.4379,6.7693
439,12765.3214,11543.24715,36.29382,624.67662,8.6501
440,12729.29282,16000.00583,83.36433,4017.59272,10.57879
441,12855.85632,6947.99362,83.0577,3951.63865,9.43266
442,12808.70047,12236.9067,58.89282,2002.15464,11.84178
443,12840.20768,14671.9041,75.29347,1417.47189,20.45115
444,12853.91846,14696.40075,109.15548,5089.71655,13.1625
445,12834.2474,5876.68083,76.99707,1951.40335,10.55145
446,12882.1526,6053.49325,63.84866,1384.4005,11.54714
447,12825.45686,8376.55603,109.62985,6940.79411,10.29147
448,12840.89422,8867.54344,67.97979,1622.88024,13.57833
449,12842.71229,9858.98628,59.28528,1894.87858,8.91061
